time,heat_target,temperature_feed,temperature_return,pressure_feed,pressure_return
2030-01-01 00:00:00,0.0,93.2,54.6,9.5,10
2030-01-01 01:00:00,1000000.0000001732,90.2,54.6,9.5,10
2030-01-01 02:00:00,999999.9999999026,92.0,53.8,9.5,10
2030-01-01 03:00:00,999999.9999999026,92.5,54.2,9.5,10
2030-01-01 04:00:00,1000000.0000001732,91.2,53.1,9.5,10
2030-01-01 05:00:00,999999.9999999026,89.8,51.9,9.5,10
2030-01-01 06:00:00,1000000.0000001732,89.5,53.0,9.5,10
2030-01-01 07:00:00,999999.9999999026,92.0,53.7,9.5,10
2030-01-01 08:00:00,999999.9999999026,92.6,54.6,9.5,10
2030-01-01 09:00:00,1000000.0000001732,91.7,54.6,9.5,10
2030-01-01 10:00:00,999999.9999999026,91.2,54.6,9.5,10
2030-01-01 11:00:00,999999.9999999026,92.6,54.6,9.5,10
2030-01-01 12:00:00,1000000.0000001732,91.1,54.6,9.5,10
2030-01-01 13:00:00,999999.9999999026,91.9,53.1,9.5,10
2030-01-01 14:00:00,999999.9999999026,86.3,53.0,9.5,10
2030-01-01 15:00:00,1000000.0000001732,87.7,53.0,9.5,10
2030-01-01 16:00:00,999999.9999999026,90.2,53.0,9.5,10
2030-01-01 17:00:00,999999.9999999026,86.8,53.0,9.5,10
2030-01-01 18:00:00,1000000.0000001732,84.3,53.0,9.5,10
2030-01-01 19:00:00,999999.9999999026,86.7,52.6,9.5,10
2030-01-01 20:00:00,1000000.0000001732,89.1,51.5,9.5,10
2030-01-01 21:00:00,999999.9999999026,86.8,51.5,9.5,10
2030-01-01 22:00:00,999999.9999999026,86.1,51.5,9.5,10
2030-01-01 23:00:00,1000000.0000001732,85.1,51.5,9.5,10
2030-01-02 00:00:00,999999.9999999026,83.6,50.1,9.5,10
2030-01-02 01:00:00,999999.9999999026,81.5,50.0,9.5,10
2030-01-02 02:00:00,1000000.0000001732,84.0,49.2,9.5,10
2030-01-02 03:00:00,999999.9999999026,87.7,49.6,9.5,10
2030-01-02 04:00:00,999999.9999999026,87.7,50.3,9.5,10
2030-01-02 05:00:00,0.0,83.8,51.0,9.5,10
2030-01-02 06:00:00,0.0,82.7,51.5,9.5,10
2030-01-02 07:00:00,0.0,80.2,51.5,9.5,10
2030-01-02 08:00:00,0.0,82.5,51.5,9.5,10
2030-01-02 09:00:00,0.0,82.6,51.5,9.5,10
2030-01-02 10:00:00,0.0,83.1,51.5,9.5,10
2030-01-02 11:00:00,0.0,85.9,51.5,9.5,10
2030-01-02 12:00:00,0.0,83.4,51.5,9.5,10
2030-01-02 13:00:00,0.0,82.7,51.5,9.5,10
2030-01-02 14:00:00,0.0,84.4,51.5,9.5,10
2030-01-02 15:00:00,0.0,84.5,52.3,9.5,10
2030-01-02 16:00:00,0.0,84.2,53.0,9.5,10
2030-01-02 17:00:00,0.0,81.5,53.0,9.5,10
2030-01-02 18:00:00,0.0,82.7,53.0,9.5,10
2030-01-02 19:00:00,0.0,85.0,53.0,9.5,10
2030-01-02 20:00:00,0.0,84.9,53.0,9.5,10
2030-01-02 21:00:00,0.0,82.5,54.0,9.5,10
2030-01-02 22:00:00,0.0,83.0,54.5,9.5,10
2030-01-02 23:00:00,0.0,83.9,54.5,9.5,10
2030-01-03 00:00:00,0.0,87.9,54.5,9.5,10
2030-01-03 01:00:00,0.0,87.4,54.0,9.5,10
2030-01-03 02:00:00,1000000.0000001732,87.1,53.0,9.5,10
2030-01-03 03:00:00,999999.9999999026,86.9,54.3,9.5,10
2030-01-03 04:00:00,-999999.9999999404,86.8,54.5,9.5,10
2030-01-03 05:00:00,-1000000.0000001315,90.4,53.9,9.5,10
2030-01-03 06:00:00,-999916.0016799279,109.5,54.5,9.5,10
2030-01-03 07:00:00,-999999.9999999404,110.6,54.5,9.5,10
2030-01-03 08:00:00,-999999.9999999404,110.4,55.2,9.5,10
2030-01-03 09:00:00,-1000000.0000001315,110.6,56.0,9.5,10
2030-01-03 10:00:00,-999916.0016799279,109.6,55.6,9.5,10
