id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;NH3;NH30;NH3_set;balance
0x7ff56feba668;system return;out1;condenser;in2;[];[];nan;2.385590862364759;kg / s;False;2.385590862364759;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.00330994050614;kJ / kg;False;252.00330994050614;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0024253950217657406;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7ff56feba940;condenser;out2;system feed;in1;[];[];nan;2.385590862364758;kg / s;False;2.385590862364758;False;nan;nan;nan;False;9.991001027719344;bar;False;9.991001027719344;False;nan;nan;nan;False;377.75831878666673;kJ / kg;False;377.75831878666673;False;nan;nan;nan;False;90.00000000000131;C;False;90.00000000000131;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0024702713400457476;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7ff56febab70;coolant in;out1;condenser;in1;[];[];nan;0.28134350083693654;kg / s;False;0.28134350083693654;False;nan;nan;nan;False;65.59476654948752;bar;False;65.59476654948752;False;nan;nan;nan;False;1908.7448493404765;kJ / kg;False;1908.7448493404765;False;nan;nan;nan;False;178.88878535589606;C;False;178.88878535589606;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.007982640574760409;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7ff56febae48;condenser;out1;valve;in1;[];[];nan;0.28134350083693654;kg / s;False;0.28134350083693654;False;nan;nan;nan;False;64.93881888399265;bar;False;64.93881888399265;False;nan;nan;nan;False;842.4326754051825;kJ / kg;False;842.4326754051825;False;nan;nan;nan;False;96.91690055509457;C;False;96.91690055509457;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0006014781484978207;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7ff56feba7f0;valve;out1;drum;in1;[];[];nan;0.28134350083693654;kg / s;False;0.28134350083693654;False;nan;nan;nan;False;19.671386454084434;bar;False;19.671386454084434;False;nan;nan;nan;False;842.4326754051825;kJ / kg;False;842.4326754051825;False;nan;nan;nan;False;48.71695860280954;C;False;48.71695860280954;False;nan;nan;nan;False;0.25085703690534183;nan;False;nan;False;nan;nan;nan;False;0.004999538073015672;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7ff56fed5358;drum;out1;evaporator reciculation pump;in1;[];[];nan;0.28134350083693654;kg / s;False;0.28134350083693654;False;nan;nan;nan;False;19.671386454084434;bar;False;19.671386454084434;False;nan;nan;nan;False;577.2906104782787;kJ / kg;False;577.2906104782787;False;nan;nan;nan;False;48.716958602809484;C;False;48.716958602809484;False;nan;nan;nan;False;7.073829447921254e-16;nan;False;nan;False;nan;nan;nan;False;0.0004979146638813031;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7ff56fed5588;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;0.28134350083693654;kg / s;False;0.28134350083693654;False;0x7ff56feba7f0;1.0;0.0;True;19.870087327358018;bar;False;19.870087327358018;False;nan;nan;nan;False;577.3382243832422;kJ / kg;False;577.3382243832422;False;nan;nan;nan;False;48.72642584376274;C;False;48.72642584376274;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00049790555132427;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7ff56fed57b8;evaporator;out2;drum;in2;[];[];nan;0.28134350083693654;kg / s;False;0.28134350083693654;False;nan;nan;nan;False;19.671386454084434;bar;False;19.671386454084434;False;nan;nan;nan;False;1369.0934421258848;kJ / kg;False;1369.0934421258848;False;nan;nan;nan;False;48.716958602809484;C;False;48.716958602809484;False;nan;nan;nan;False;0.7491429630946596;nan;False;nan;False;nan;nan;nan;False;0.013941266865827839;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7ff56fed59e8;drum;out2;superheater;in2;[];[];nan;0.28134350083693654;kg / s;False;0.28134350083693654;False;nan;nan;nan;False;19.671386454084434;bar;False;19.671386454084434;False;nan;nan;nan;False;1634.2355070527883;kJ / kg;False;1634.2355070527883;False;nan;nan;nan;False;48.716958602809484;C;False;48.716958602809484;False;nan;nan;nan;False;1.0000000000000004;nan;False;nan;False;nan;nan;nan;False;0.018442890274962202;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7ff56fed5c18;storage return;out1;superheater;in1;[];[];nan;3.215796010075211;kg / s;False;3.215796010075211;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;293.4485704790318;kJ / kg;False;293.4485704790318;False;nan;nan;nan;False;69.99999999999255;C;False;69.99999999999255;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.003288334685798794;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
