id;s;s_id;t;t_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;NH3;NH30;NH3_set;balance
0x7f383c549a58;system return;out1;condenser;in2;[];[];1.4884252749787714;kg / s;False;1.4884252749787714;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;314.8056696835633;kJ / kg;False;314.8056696835633;False;nan;nan;nan;False;75.00000000000529;C;False;75.00000000000529;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.001526211106847228;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7f383c549ba8;condenser;out2;system feed;in1;[];[];1.4884252749787714;kg / s;False;1.4884252749787714;False;nan;nan;nan;False;9.998437783129935;bar;False;9.998437783129935;False;nan;nan;nan;False;398.78704389247866;kJ / kg;False;398.78704389247866;False;nan;nan;nan;False;95.00000000000068;C;False;95.00000000000068;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0015467310218455228;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f384bb3c7f0;coolant in;out1;condenser;in1;[];[];0.10440898834610195;kg / s;False;0.10440898834610195;False;nan;nan;nan;False;81.59704666334454;bar;False;81.59704666334454;False;nan;nan;nan;False;2114.2153272465944;kJ / kg;False;2114.2153272465944;False;nan;nan;nan;False;252.8463939741887;C;False;252.8463939741887;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00294005692220073;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7f383c549b38;condenser;out1;valve;in1;[];[];0.10440898834610195;kg / s;False;0.10440898834610195;False;nan;nan;nan;False;80.7810761967111;bar;False;80.7810761967111;False;nan;nan;nan;False;917.0003941256873;kJ / kg;False;917.0003941256873;False;nan;nan;nan;False;108.42297549513665;C;False;108.42297549513665;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00023945403487837244;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f384d8ada58;valve;out1;drum;in1;[];[];0.10440898834610195;kg / s;False;0.10440898834610195;False;nan;nan;nan;False;7.329489340090296;bar;False;7.329489340090296;False;nan;nan;nan;False;917.0003941256873;kJ / kg;False;917.0003941256873;False;nan;nan;nan;False;15.18240257660068;C;False;15.18240257660068;False;nan;nan;nan;False;0.4171433049607144;nan;False;nan;False;nan;nan;nan;False;0.007659477496234984;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f383c4e6710;drum;out1;evaporator reciculation pump;in1;[];[];0.4176359533844078;kg / s;False;0.4176359533844078;False;nan;nan;nan;False;7.329489340090296;bar;False;7.329489340090296;False;nan;nan;nan;False;414.1030534149785;kJ / kg;False;414.1030534149785;False;nan;nan;nan;False;15.182402576600737;C;False;15.182402576600737;False;nan;nan;nan;False;-1.2403460415599476e-15;nan;False;nan;False;nan;nan;nan;False;0.0006766365142456652;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f383c4e6940;evaporator reciculation pump;out1;evaporator;in2;[];[];0.4176359533844078;kg / s;False;0.4176359533844078;False;0x7f384d8ada58;4.0;0.0;True;7.403524585949796;bar;False;7.403524585949796;False;nan;nan;nan;False;414.1472466137406;kJ / kg;False;414.1472466137406;False;nan;nan;nan;False;15.190981737558616;C;False;15.190981737558616;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0006766434697570887;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f383c4e6b70;evaporator;out2;drum;in2;[];[];0.4176359533844078;kg / s;False;0.4176359533844078;False;nan;nan;nan;False;7.329489340090296;bar;False;7.329489340090296;False;nan;nan;nan;False;589.7723488734624;kJ / kg;False;589.7723488734624;False;nan;nan;nan;False;15.18240257660068;C;False;15.18240257660068;False;nan;nan;nan;False;0.14571417375982035;nan;False;nan;False;nan;nan;nan;False;0.011142541532151738;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f383c4e6da0;drum;out2;superheater;in2;[];[];0.10440898834610196;kg / s;False;0.10440898834610196;False;nan;nan;nan;False;7.329489340090296;bar;False;7.329489340090296;False;nan;nan;nan;False;1619.6775759596223;kJ / kg;False;1619.6775759596223;False;nan;nan;nan;False;15.18240257660068;C;False;15.18240257660068;False;nan;nan;nan;False;1.0000000000000002;nan;False;nan;False;nan;nan;nan;False;0.01812538251414105;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f383c549e48;storage return;out1;superheater;in1;[];[];7.002374594447742;kg / s;False;7.002374594447742;False;nan;nan;nan;False;3.0;bar;False;3.0;True;nan;nan;nan;False;105.10408264311994;kJ / kg;False;105.10408264311994;False;nan;nan;nan;False;25.000000000009265;C;False;25.000000000009265;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00702247822673286;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
