id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;R245FA;R245FA0;R245FA_set;balance
0x7f48cd4f9eb8;system return;out1;condenser;in2;[];[];nan;1.1916274846504007;kg / s;False;1.1916274846504007;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.00330994078413;kJ / kg;False;252.00330994078413;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0012115100768810695;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1.0;1;True;0;0;True;False
0x7f48cd4f9c88;condenser;out2;system feed;in1;[];[];nan;1.1916274846504007;kg / s;False;1.1916274846504007;False;nan;nan;nan;False;9.996000353357323;bar;False;9.996000353357323;False;nan;nan;nan;False;419.8409962783697;kJ / kg;False;419.8409962783697;False;nan;nan;nan;False;105.0;C;False;105.0;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0012428704512664646;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1.0;1;False;0;0;False;False
0x7f48cd503278;coolant in;out1;condenser;in1;[];[];nan;1.5134018198811146;kg / s;False;1.5134018198811146;False;nan;nan;nan;False;18.114942986076155;bar;False;18.114942986076155;False;nan;nan;nan;False;490.71889302154466;kJ / kg;False;490.71889302154466;False;nan;nan;nan;False;121.23103683874399;C;False;121.23103683874399;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.014330149992586807;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0;True;1;1;True;False
0x7f48cd503518;condenser;out1;valve;in1;[];[];nan;1.5134018198811146;kg / s;False;1.5134018198811146;False;nan;nan;nan;False;17.933793556215406;bar;False;17.933793556215406;False;nan;nan;nan;False;358.56628333609376;kJ / kg;False;358.56628333609376;False;nan;nan;nan;False;111.36886974122734;C;False;111.36886974122734;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0014473956401330312;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0.0;0;False;1;1;False;False
0x7f48cd503748;valve;out1;drum;in1;[];[];nan;1.5134018198811146;kg / s;False;1.5134018198811146;False;nan;nan;nan;False;2.8541254807962186;bar;False;2.8541254807962186;False;nan;nan;nan;False;358.56628333609376;kJ / kg;False;358.56628333609376;False;nan;nan;nan;False;44.00675433660484;C;False;44.00675433660484;False;nan;nan;nan;False;0.5565315020944368;nan;False;nan;False;nan;nan;nan;False;0.0535562362596304;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0;False;1;1;False;False
0x7f48cd5039e8;drum;out1;evaporator reciculation pump;in1;[];[];nan;6.053607279524457;kg / s;False;6.053607279524457;False;nan;nan;nan;False;2.8541254807962186;bar;False;2.8541254807962186;False;nan;nan;nan;False;258.4998036466392;kJ / kg;False;258.4998036466392;False;nan;nan;nan;False;44.006754336604786;C;False;44.006754336604786;False;nan;nan;nan;False;-1.2075111178294245e-15;nan;False;nan;False;nan;nan;nan;False;0.004710444362743446;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0;False;1;1;False;False
0x7f48cd503c18;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;6.053607279524457;kg / s;False;6.053607279524457;False;0x7f48cd503748;4.0;0.0;True;2.8829550311072922;bar;False;2.8829550311072922;False;nan;nan;nan;False;258.50584263363817;kJ / kg;False;258.50584263363817;False;nan;nan;nan;False;44.01072719202091;C;False;44.01072719202091;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0047104442766745845;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0;False;1;1;False;False
0x7f48cd503e48;evaporator;out2;drum;in2;[];[];nan;6.053607279524458;kg / s;False;6.053607279524458;False;nan;nan;nan;False;2.8541254807962186;bar;False;2.8541254807962186;False;nan;nan;nan;False;278.43413408057455;kJ / kg;False;278.43413408057455;False;nan;nan;nan;False;44.00675433660484;C;False;44.00675433660484;False;nan;nan;nan;False;0.11086712447638884;nan;False;nan;False;nan;nan;nan;False;0.04644801023028816;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0;False;1;1;False;False
0x7f48cd5034e0;drum;out2;superheater;in2;[];[];nan;1.513401819881114;kg / s;False;1.513401819881114;False;nan;nan;nan;False;2.8541254807962186;bar;False;2.8541254807962186;False;nan;nan;nan;False;438.30360507183565;kJ / kg;False;438.30360507183565;False;nan;nan;nan;False;44.00675433660484;C;False;44.00675433660484;False;nan;nan;nan;False;0.9999999999999994;nan;False;nan;False;nan;nan;nan;False;0.09529380212717532;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0.0;0;False;1;1;False;False
0x7f48cd49c2e8;storage return;out1;superheater;in1;[];[];nan;1.0541038529961642;kg / s;False;1.0541038529961642;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;335.372594843177;kJ / kg;False;335.372594843177;False;nan;nan;nan;False;79.99999999999801;C;False;79.99999999999801;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0010845034580458225;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1.0;1;True;0;0;True;False
