id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;NH3;NH30;NH3_set;balance
0x7f29e3f8be80;system return;out1;condenser;in2;[];[];nan;2.3855908623629034;kg / s;False;2.3855908623629034;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.0033099405063;kJ / kg;False;252.0033099405063;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.002425395021763854;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7f29e3f8bfd0;condenser;out2;system feed;in1;[];[];nan;2.3855908623629025;kg / s;False;2.3855908623629025;False;nan;nan;nan;False;9.99100102771936;bar;False;9.99100102771936;False;nan;nan;nan;False;377.7583187867647;kJ / kg;False;377.7583187867647;False;nan;nan;nan;False;89.99999999999744;C;False;89.99999999999744;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0024702713400438212;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f29e3f94048;coolant in;out1;condenser;in1;[];[];nan;0.36273846064073756;kg / s;False;0.36273846064073756;False;nan;nan;nan;False;64.38595900331876;bar;False;64.38595900331876;False;nan;nan;nan;False;1663.5800585621284;kJ / kg;False;1663.5800585621284;False;nan;nan;nan;False;115.25969051341485;C;False;115.25969051341485;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.007337437573298635;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7f29e3f944e0;condenser;out1;valve;in1;[];[];nan;0.36273846064073756;kg / s;False;0.36273846064073756;False;nan;nan;nan;False;63.74209941328557;bar;False;63.74209941328557;False;nan;nan;nan;False;836.5378985714754;kJ / kg;False;836.5378985714754;False;nan;nan;nan;False;95.96238725940651;C;False;95.96238725940651;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.0007715061400178308;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f29e3f94710;valve;out1;drum;in1;[];[];nan;0.36273846064073756;kg / s;False;0.36273846064073756;False;nan;nan;nan;False;25.2291818284143;bar;False;25.2291818284143;False;nan;nan;nan;False;836.5378985714754;kJ / kg;False;836.5378985714754;False;nan;nan;nan;False;58.526323121564246;C;False;58.526323121564246;False;nan;nan;nan;False;0.20795034455044434;nan;False;nan;False;nan;nan;nan;False;0.00434748777124172;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f29e3f94940;drum;out1;evaporator reciculation pump;in1;[];[];nan;1.4509538425629502;kg / s;False;1.4509538425629502;False;nan;nan;nan;False;25.2291818284143;bar;False;25.2291818284143;False;nan;nan;nan;False;627.4570473710303;kJ / kg;False;627.4570473710303;False;nan;nan;nan;False;58.52632312156419;C;False;58.52632312156419;False;nan;nan;nan;False;-3.186952057219707e-16;nan;False;nan;False;nan;nan;nan;False;0.002648135247755377;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f29e3f94b70;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;1.4509538425629502;kg / s;False;1.4509538425629502;False;0x7f29e3f94710;4.0;0.0;True;25.484022048903334;bar;False;25.484022048903334;False;nan;nan;nan;False;627.5510382699124;kJ / kg;False;627.5510382699124;False;nan;nan;nan;False;58.54573892394808;C;False;58.54573892394808;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00264811406864002;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f29e3f94da0;evaporator;out2;drum;in2;[];[];nan;1.4509538425629502;kg / s;False;1.4509538425629502;False;nan;nan;nan;False;25.2291818284143;bar;False;25.2291818284143;False;nan;nan;nan;False;826.5459410591103;kJ / kg;False;826.5459410591103;False;nan;nan;nan;False;58.52632312155458;C;False;58.52632312155458;False;nan;nan;nan;False;0.1980124138623886;nan;False;nan;False;nan;nan;nan;False;0.016685440860071583;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f29e3f94fd0;drum;out2;superheater;in2;[];[];nan;0.36273846064073756;kg / s;False;0.36273846064073756;False;nan;nan;nan;False;25.2291818284143;bar;False;25.2291818284143;False;nan;nan;nan;False;1632.8934733237954;kJ / kg;False;1632.8934733237954;False;nan;nan;nan;False;58.52632312155464;C;False;58.52632312155464;False;nan;nan;nan;False;0.9999999999999998;nan;False;nan;False;nan;nan;nan;False;0.018384793383562418;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f29e3fab240;storage return;out1;superheater;in1;[];[];nan;4.036794227571423;kg / s;False;4.036794227571423;False;nan;nan;nan;False;3.0;bar;False;3.0;True;nan;nan;nan;False;335.2134009989746;kJ / kg;False;335.2134009989746;False;nan;nan;nan;False;80.00000000000608;C;False;80.00000000000608;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00415359550750961;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
